year,country,broadcaster,artist,artistWikiUrl,song,songWikiUrl,language,songwriters,conductors,youtube_url
1989,be,BRT,Ingeborg,https://en.wikipedia.org/wiki/Ingeborg_(singer),Door de wind,,Dutch,Stef Bos,Freddy Sunder,6h4lCM03uiA
1989,cy,CyBC,Fanny Polymeri and Yiannis Savvidakis,,"Apopse as vrethoume"" (Απόψε ας βρεθούμε)",,Greek,Efi Meletiou|Marios Meletiou,Haris Andreadis,9HlldYCQXKI
1989,dk,DR,Birthe Kjær,https://en.wikipedia.org/wiki/Birthe_Kj%C3%A6r,Vi maler byen rød,https://en.wikipedia.org/wiki/Vi_maler_byen_r%C3%B8d,Danish,Søren Bundgaard|Keld Heick,Henrik Krogsgaard,IPkdWtjU9oE
1989,fi,YLE,Anneli Saaristo,https://en.wikipedia.org/wiki/Anneli_Saaristo,La dolce vita,,Finnish,Turkka Mali|Matti Puurtinen,Ossi Runne,bJv4eaBUocE
1989,fr,Antenne 2,Nathalie Pâque,https://en.wikipedia.org/wiki/Nathalie_P%C3%A2que,J'ai volé la vie,,French,G.G. Candy|Sylvain Lebel|Guy Mattéoni,Guy Mattéoni,f9rxnwHbg8A
1989,de,BR,Nino de Angelo,https://en.wikipedia.org/wiki/Nino_de_Angelo,Flieger,,German,Dieter Bohlen|Joachim Horn-Bernges,No conductor,-4iLLxMq52A
1989,gr,ERT,Marianna,https://en.wikipedia.org/wiki/Marianna_Efstratiou,"To diko sou asteri"" (Το δικό σου αστέρι)",,Greek,Marianna Efstratiou|Yiannis Kyris|Villy Sanianou,Giorgos Niarchos,w0x1EJSPZIs
1989,is,RÚV,Daníel,https://en.wikipedia.org/wiki/Dan%C3%ADel_%C3%81g%C3%BAst_Haraldsson,Það sem enginn sér,,Icelandic,Valgeir Guðjónsson,No conductor,ymMGcwcaIm8
1989,ie,RTÉ,Kiev Connolly,https://en.wikipedia.org/wiki/Kiev_Connolly,The Real Me,,English,Kiev Connolly,Noel Kelehan,7jQvpVpkR2M
1989,il,IBA,Gili and Galit,,"Derekh Hamelekh"" (דרך המלך)",,Hebrew,Shaike Paikov,Shaike Paikov,OnovnAMjdJw
1989,it,RAI,Anna Oxa,https://en.wikipedia.org/wiki/Anna_Oxa,Avrei voluto,,Italian,Franco Berlincioni|Franco Ciani|Franco Fasano,Mario Natale,J3lDsE4Ivjs
1989,lu,CLT,Park Café,https://en.wikipedia.org/wiki/Park_Caf%C3%A9,Monsieur,,French,Yves Lacomblez|Bernard Loncheval|Maggie Parke|Gast Waltzing,Benoît Kaufman,yGF8OhHOZac
1989,nl,NOS,Justine Pelmelay,https://en.wikipedia.org/wiki/Justine_Pelmelay,Blijf zoals je bent,,Dutch,Cees Bergman|Geertjan Hessing|Jan Kisjes|Aart Mol|Erwin van Prehm|Elmer Veerfoff,Harry van Hoof,uF1Q1elnD0o
1989,no,NRK,Britt Synnøve Johansen,https://en.wikipedia.org/wiki/Britt_Synn%C3%B8ve_Johansen,Venners nærhet,,Norwegian,Inge Enoksen|Leiv N. Grøtte,Pete Knutsen,DGIUODWyzD4
1989,pt,RTP,Da Vinci,https://en.wikipedia.org/wiki/Da_Vinci_(band),Conquistador,,Portuguese,Pedro Luís|Ricardo,Luís Duarte,jIBd4haCFGo
